cve_id,V3_scope
CVE-2011-0001,UNCHANGED
CVE-2011-0002,UNCHANGED
CVE-2011-0003,CHANGED
CVE-2011-0004,CHANGED
CVE-2011-0005,CHANGED
CVE-2011-0006,UNCHANGED
CVE-2011-0007,UNCHANGED
CVE-2011-0008,UNCHANGED
CVE-2011-0009,UNCHANGED
CVE-2011-0010,UNCHANGED
CVE-2011-0011,UNCHANGED
CVE-2011-0012,UNCHANGED
CVE-2011-0013,CHANGED
CVE-2011-0014,UNCHANGED
CVE-2011-0015,UNCHANGED
CVE-2011-0016,UNCHANGED
CVE-2011-0017,CHANGED
CVE-2011-0018,UNCHANGED
CVE-2011-0019,UNCHANGED
CVE-2011-0020,UNCHANGED
CVE-2011-0021,UNCHANGED
CVE-2011-0022,CHANGED
CVE-2011-0024,UNCHANGED
CVE-2011-0025,UNCHANGED
CVE-2011-0026,UNCHANGED
CVE-2011-0027,UNCHANGED
CVE-2011-0028,UNCHANGED
CVE-2011-0029,UNCHANGED
CVE-2011-0030,UNCHANGED
CVE-2011-0031,UNCHANGED
CVE-2011-0032,UNCHANGED
CVE-2011-0033,UNCHANGED
CVE-2011-0034,UNCHANGED
CVE-2011-0035,UNCHANGED
CVE-2011-0036,UNCHANGED
CVE-2011-0037,UNCHANGED
CVE-2011-0038,UNCHANGED
CVE-2011-0039,UNCHANGED
CVE-2011-0040,UNCHANGED
CVE-2011-0041,UNCHANGED
CVE-2011-0042,UNCHANGED
CVE-2011-0043,UNCHANGED
CVE-2011-0045,UNCHANGED
CVE-2011-0046,UNCHANGED
CVE-2011-0047,CHANGED
CVE-2011-0048,CHANGED
CVE-2011-0049,UNCHANGED
CVE-2011-0050,CHANGED
CVE-2011-0051,UNCHANGED
CVE-2011-0053,UNCHANGED
CVE-2011-0054,UNCHANGED
CVE-2011-0055,UNCHANGED
CVE-2011-0056,UNCHANGED
CVE-2011-0057,UNCHANGED
CVE-2011-0058,UNCHANGED
CVE-2011-0059,UNCHANGED
CVE-2011-0061,UNCHANGED
CVE-2011-0062,UNCHANGED
CVE-2011-0063,UNCHANGED
CVE-2011-0064,UNCHANGED
CVE-2011-0065,UNCHANGED
CVE-2011-0066,UNCHANGED
CVE-2011-0067,UNCHANGED
CVE-2011-0069,UNCHANGED
CVE-2011-0070,UNCHANGED
CVE-2011-0071,UNCHANGED
CVE-2011-0072,UNCHANGED
CVE-2011-0073,UNCHANGED
CVE-2011-0074,UNCHANGED
CVE-2011-0075,UNCHANGED
CVE-2011-0076,UNCHANGED
CVE-2011-0077,UNCHANGED
CVE-2011-0078,UNCHANGED
CVE-2011-0079,UNCHANGED
CVE-2011-0080,UNCHANGED
CVE-2011-0081,UNCHANGED
CVE-2011-0082,CHANGED
CVE-2011-0083,UNCHANGED
CVE-2011-0084,UNCHANGED
CVE-2011-0085,UNCHANGED
CVE-2011-0086,UNCHANGED
CVE-2011-0087,UNCHANGED
CVE-2011-0088,UNCHANGED
CVE-2011-0089,UNCHANGED
CVE-2011-0090,UNCHANGED
CVE-2011-0091,UNCHANGED
